iter	Passed	Remaining
0	5	5150
1	8	4378
2	11	3945
3	14	3669
4	17	3450
5	19	3288
6	21	3076
7	23	2930
8	25	2836
9	27	2737
10	29	2662
11	31	2613
12	33	2539
13	35	2467
14	36	2410
15	38	2368
16	40	2315
17	41	2263
18	43	2241
19	46	2267
20	48	2257
21	50	2249
22	52	2225
23	54	2221
24	56	2194
25	58	2195
26	61	2203
27	63	2187
28	65	2189
29	67	2193
30	70	2195
31	72	2196
32	75	2211
33	77	2208
34	80	2211
35	82	2214
36	85	2217
37	87	2220
38	90	2229
39	93	2245
40	96	2255
41	99	2258
42	101	2264
43	104	2266
44	107	2288
45	110	2287
46	112	2284
47	115	2282
48	117	2279
49	120	2284
50	122	2286
51	125	2286
52	127	2284
53	130	2282
54	132	2278
55	134	2266
56	136	2260
57	139	2259
58	141	2258
59	144	2256
60	146	2255
61	148	2244
62	150	2233
63	152	2235
64	155	2232
65	157	2230
66	159	2227
67	162	2225
68	164	2221
69	167	2223
70	169	2220
71	172	2218
72	174	2216
73	176	2213
74	179	2207
75	181	2211
76	184	2210
77	186	2209
78	189	2209
79	192	2209
80	194	2208
81	196	2202
82	198	2192
83	200	2189
84	203	2188
85	205	2186
86	207	2173
87	209	2170
88	211	2168
89	214	2167
90	216	2164
91	219	2161
92	221	2158
93	223	2156
94	226	2155
95	228	2154
96	231	2152
97	233	2150
98	236	2149
99	238	2147
100	241	2146
101	243	2145
102	245	2140
103	248	2138
104	250	2135
105	252	2133
106	255	2131
107	258	2131
108	260	2129
109	262	2127
110	265	2124
111	267	2122
112	270	2121
113	272	2119
114	275	2117
115	277	2114
116	279	2111
117	282	2108
118	284	2105
119	286	2102
120	289	2102
121	291	2100
122	294	2098
123	296	2095
124	299	2093
125	301	2089
126	303	2086
127	305	2083
128	308	2081
129	310	2078
130	312	2076
131	315	2072
132	317	2069
133	320	2068
134	322	2065
135	324	2063
136	327	2060
137	329	2058
138	331	2055
139	334	2053
140	336	2051
141	339	2049
142	341	2046
143	343	2044
144	346	2041
145	348	2038
146	351	2037
147	353	2034
148	355	2031
149	357	2028
150	360	2025
151	362	2023
152	365	2021
153	367	2020
154	370	2017
155	372	2015
156	374	2012
157	377	2009
158	379	2006
159	382	2005
160	384	2004
161	387	2002
162	389	2001
163	392	1999
164	394	1997
165	397	1997
166	400	1995
167	402	1993
168	404	1990
169	407	1988
170	409	1985
171	412	1984
172	414	1981
173	416	1978
174	419	1976
175	421	1973
176	423	1971
177	426	1969
178	428	1967
179	431	1965
180	433	1963
181	435	1958
182	438	1956
183	440	1954
184	443	1952
185	445	1949
186	447	1947
187	450	1945
188	452	1940
189	454	1938
190	457	1935
191	459	1934
192	462	1931
193	464	1929
194	466	1926
195	469	1924
196	471	1922
197	473	1919
198	476	1917
199	478	1915
200	480	1911
201	483	1908
202	485	1906
203	488	1904
204	490	1902
205	492	1896
206	494	1894
207	497	1893
208	499	1891
209	502	1889
210	504	1887
211	506	1882
212	508	1880
213	511	1877
214	513	1875
215	516	1873
216	518	1871
217	520	1865
218	522	1863
219	524	1861
220	527	1858
221	529	1856
222	532	1854
223	534	1852
224	537	1849
225	539	1847
226	541	1844
227	544	1842
228	546	1840
229	548	1837
230	551	1835
231	553	1833
232	556	1831
233	558	1828
234	561	1826
235	563	1823
236	565	1821
237	567	1818
238	570	1815
239	572	1812
240	574	1810
241	577	1807
242	579	1805
243	581	1803
244	584	1800
245	586	1798
246	589	1795
247	591	1793
248	593	1790
249	596	1788
250	598	1786
251	601	1784
252	603	1782
253	605	1779
254	608	1777
255	611	1777
256	614	1775
257	615	1771
258	618	1769
259	620	1766
260	623	1764
261	625	1762
262	628	1760
263	630	1758
264	633	1755
265	635	1753
266	637	1750
267	640	1748
268	642	1746
269	645	1744
270	647	1742
271	650	1739
272	652	1737
273	654	1734
274	657	1733
275	660	1731
276	662	1729
277	664	1726
278	667	1724
279	669	1721
280	672	1719
281	674	1717
282	676	1714
283	679	1712
284	681	1709
285	684	1707
286	686	1705
287	689	1704
288	691	1702
289	694	1699
290	696	1697
291	699	1694
292	701	1692
293	704	1690
294	705	1686
295	707	1683
296	710	1681
297	712	1678
298	715	1676
299	717	1674
300	720	1673
301	722	1670
302	725	1668
303	727	1666
304	730	1663
305	732	1660
306	734	1658
307	737	1655
308	739	1653
309	741	1651
310	744	1648
311	746	1646
312	749	1644
313	751	1641
314	753	1639
315	756	1637
316	758	1634
317	761	1632
318	763	1629
319	765	1626
320	767	1623
321	770	1621
322	772	1619
323	774	1616
324	777	1614
325	780	1613
326	782	1610
327	785	1608
328	787	1606
329	789	1603
330	792	1601
331	794	1599
332	797	1597
333	800	1595
334	802	1592
335	804	1589
336	806	1587
337	809	1585
338	811	1583
339	886	1720
340	888	1717
341	891	1715
342	899	1722
343	902	1721
344	907	1722
345	910	1720
346	913	1718
347	915	1716
348	918	1713
349	921	1710
350	924	1708
351	926	1706
352	928	1701
353	931	1699
354	933	1696
355	936	1693
356	938	1691
357	941	1688
358	943	1685
359	946	1682
360	948	1679
361	951	1676
362	954	1674
363	956	1671
364	959	1668
365	961	1665
366	964	1662
367	966	1659
368	969	1657
369	971	1654
370	974	1651
371	976	1649
372	979	1646
373	982	1643
374	984	1640
375	986	1637
376	989	1634
377	991	1631
378	994	1629
379	996	1626
380	999	1623
381	1002	1621
382	1004	1618
383	1007	1615
384	1008	1611
385	1011	1608
386	1013	1606
387	1016	1603
388	1018	1600
389	1021	1597
390	1023	1594
391	1026	1591
392	1028	1588
393	1031	1585
394	1033	1583
395	1035	1580
396	1038	1577
397	1040	1574
398	1043	1571
399	1045	1568
400	1047	1565
401	1050	1562
402	1052	1559
403	1055	1556
404	1057	1553
405	1060	1550
406	1062	1548
407	1064	1545
408	1067	1542
409	1069	1539
410	1072	1536
411	1074	1533
412	1077	1530
413	1079	1527
414	1081	1524
415	1084	1521
416	1086	1518
417	1088	1515
418	1090	1512
419	1093	1510
420	1095	1507
421	1098	1504
422	1100	1501
423	1103	1498
424	1105	1495
425	1108	1493
426	1110	1490
427	1112	1487
428	1115	1484
429	1117	1481
430	1119	1478
431	1122	1475
432	1124	1472
433	1126	1469
434	1129	1466
435	1131	1463
436	1133	1460
437	1135	1457
438	1138	1455
439	1141	1452
440	1143	1449
441	1145	1446
442	1148	1443
443	1150	1440
444	1153	1438
445	1155	1435
446	1157	1431
447	1159	1428
448	1161	1425
449	1163	1422
450	1166	1419
451	1168	1417
452	1170	1413
453	1173	1410
454	1175	1407
455	1177	1405
456	1180	1402
457	1182	1399
458	1185	1396
459	1186	1392
460	1188	1389
461	1190	1386
462	1192	1383
463	1195	1380
464	1197	1377
465	1200	1375
466	1202	1372
467	1205	1370
468	1207	1367
469	1210	1364
470	1212	1361
471	1215	1359
472	1218	1357
473	1220	1354
474	1223	1351
475	1225	1349
476	1228	1347
477	1231	1344
478	1233	1342
479	1236	1339
480	1238	1336
481	1240	1333
482	1243	1330
483	1245	1328
484	1248	1325
485	1251	1323
486	1253	1320
487	1256	1317
488	1258	1315
489	1261	1313
490	1264	1310
491	1267	1308
492	1269	1305
493	1271	1302
494	1274	1300
495	1277	1297
496	1279	1295
497	1282	1292
498	1285	1290
499	1287	1287
500	1290	1285
501	1293	1282
502	1295	1280
503	1298	1277
504	1300	1274
505	1302	1271
506	1305	1269
507	1307	1266
508	1310	1263
509	1312	1261
510	1315	1258
511	1317	1255
512	1320	1253
513	1323	1250
514	1325	1248
515	1327	1245
516	1330	1242
517	1332	1240
518	1335	1237
519	1337	1235
520	1340	1232
521	1342	1229
522	1345	1226
523	1347	1224
524	1350	1221
525	1352	1219
526	1354	1216
527	1357	1213
528	1359	1210
529	1361	1207
530	1363	1204
531	1366	1201
532	1368	1199
533	1371	1196
534	1373	1193
535	1375	1191
536	1378	1188
537	1380	1185
538	1383	1183
539	1385	1180
540	1388	1177
541	1391	1175
542	1393	1172
543	1396	1170
544	1397	1166
545	1400	1164
546	1402	1161
547	1405	1159
548	1408	1156
549	1411	1154
550	1414	1152
551	1416	1149
552	1419	1147
553	1421	1144
554	1424	1141
555	1426	1139
556	1429	1136
557	1431	1134
558	1434	1131
559	1436	1129
560	1439	1126
561	1442	1123
562	1444	1121
